file,age,gender,race,service_test
train/1.jpg,50-59,Male,East Asian,TRUE
train/2.jpg,30-39,Female,Indian,FALSE
train/3.jpg,9-Mar,Female,Black,FALSE
train/4.jpg,20-29,Female,Indian,TRUE
train/5.jpg,20-29,Female,Indian,TRUE
train/6.jpg,20-29,Male,White,TRUE
train/7.jpg,40-49,Male,Middle Eastern,FALSE
train/8.jpg,30-39,Female,Indian,TRUE
train/9.jpg,19-Oct,Male,White,TRUE
train/10.jpg,30-39,Male,Middle Eastern,FALSE
train/11.jpg,50-59,Male,East Asian,TRUE
train/12.jpg,20-29,Male,East Asian,FALSE
train/13.jpg,20-29,Male,Latino_Hispanic,FALSE
train/14.jpg,19-Oct,Male,Indian,TRUE
train/15.jpg,60-69,Female,Indian,TRUE
train/16.jpg,30-39,Female,White,FALSE
train/17.jpg,20-29,Female,Southeast Asian,FALSE
train/18.jpg,40-49,Male,Southeast Asian,FALSE
train/19.jpg,0-2,Female,Black,FALSE
train/20.jpg,50-59,Male,Southeast Asian,TRUE
train/21.jpg,20-29,Female,Indian,TRUE
train/22.jpg,30-39,Female,Middle Eastern,TRUE
train/23.jpg,20-29,Female,Black,TRUE
train/24.jpg,30-39,Female,White,FALSE
train/25.jpg,20-29,Female,White,FALSE
train/26.jpg,30-39,Female,Black,TRUE
train/27.jpg,50-59,Female,White,FALSE
train/28.jpg,19-Oct,Female,White,FALSE
train/29.jpg,20-29,Male,Indian,TRUE
train/30.jpg,20-29,Female,Black,FALSE
train/31.jpg,40-49,Female,Black,TRUE
train/32.jpg,19-Oct,Female,East Asian,TRUE
train/33.jpg,50-59,Male,White,FALSE
train/34.jpg,40-49,Male,Middle Eastern,FALSE
train/35.jpg,20-29,Male,East Asian,TRUE
train/36.jpg,60-69,Female,Middle Eastern,TRUE
train/37.jpg,20-29,Female,Latino_Hispanic,FALSE
train/38.jpg,30-39,Male,Latino_Hispanic,TRUE
train/39.jpg,50-59,Male,Middle Eastern,FALSE
train/40.jpg,20-29,Female,Latino_Hispanic,FALSE
train/41.jpg,20-29,Male,White,TRUE
train/42.jpg,19-Oct,Female,Black,FALSE
train/43.jpg,19-Oct,Female,Southeast Asian,TRUE
train/44.jpg,40-49,Male,Latino_Hispanic,FALSE
train/45.jpg,19-Oct,Male,Indian,TRUE
train/46.jpg,19-Oct,Female,Indian,TRUE
train/47.jpg,60-69,Male,East Asian,TRUE
train/48.jpg,9-Mar,Female,Middle Eastern,TRUE
train/49.jpg,19-Oct,Female,Southeast Asian,FALSE
train/50.jpg,50-59,Female,Black,FALSE
train/51.jpg,9-Mar,Female,East Asian,FALSE
